P_bars,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,Fe3Fet_m,S6St_m,logfO2,dFMQ,vapor_wt,O2_v_mf,CO2_v_mf,CO_v_mf,H2O_v_mf,H2_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CH4_v_mf,OCS_v_mf,CS_v_mf,H2OT_m_wtpc_norm,CO2T_m_ppmw_norm,ST_m_ppmw_norm,SUM_v_mf,XO2_BYDIFF_v_mf
6473.0,2.105735663,11515.4,4695.150509,0.187431738,0.83790333,-6.662530889,1.156698574,0.0001,1.00901e-11,0.930694463,0.007165619,0.046711045,8.7643e-05,0.000150278,0.014983316,0.000207636,1.38234e-10,,60.540270329927466,1.0,1.0,1.0,1.0000000001483242,-1.3823409084068317e-10
6472.0,2.105700982,11511.49731,4694.963766,0.187426864,0.837899111,-6.662590069,1.156714072,0.000104065,1.00918e-11,0.930682022,0.007165555,0.046720847,8.76696e-05,0.000150297,0.0149859,0.00020771,1.38258e-10,,60.528929213676165,0.9999835302214759,0.9996610894975425,0.9999602264081541,1.00000000074835,-7.382581213022377e-10
6470.8,2.105715088,11506.74298,4695.045509,0.187420832,0.837889408,-6.662663244,1.15673051,0.000109017,1.00937e-11,0.930660239,0.007165444,0.046734783,8.77058e-05,0.000150412,0.014993545,0.000207872,1.383e-10,,60.49613621271273,0.9999902290679874,0.9992482223804645,0.9999776364996609,1.0000000009483936,-9.382998822360378e-10
6469.6,2.10564307,11502.10187,4694.654741,0.187415081,0.837886872,-6.662733103,1.156750264,0.00011385,1.00957e-11,0.930649032,0.007165386,0.04674537,8.77354e-05,0.000150385,0.014994172,0.00020792,1.38321e-10,,60.492986271716866,0.999956028194029,0.9988451873143791,0.9998944084967991,1.0000000005484166,-5.383209433773573e-10
6468.4,2.105662236,11497.34378,4694.764202,0.187409032,0.837876747,-6.662806485,1.156766495,0.000118807,1.00976e-11,0.930626613,0.007165271,0.046759513,8.7772e-05,0.000150509,0.015002233,0.00020809,1.38364e-10,,60.45846610801503,0.99996513000122,0.9984319936780311,0.999917722126424,1.0000000011484618,-1.1383640696749353e-09
6467.2,2.105681407,11492.58709,4694.873623,0.187402984,0.837866623,-6.662879857,1.156782737,0.000123763,1.00995e-11,0.930604183,0.007165156,0.046773662,8.78087e-05,0.000150633,0.015010299,0.000208259,1.38407e-10,,60.423967381228486,0.9999742341828781,0.9980189216180073,0.9999410272366203,1.0000000008485066,-8.384071215061795e-10
6466.0,2.105609363,11487.95019,4694.482787,0.18739723,0.837864085,-6.662949752,1.156802455,0.000128592,1.01015e-11,0.930592965,0.007165098,0.04678426,8.78383e-05,0.000150605,0.015010926,0.000208308,1.38429e-10,,60.420827080618885,0.999940020961691,0.9976162521492957,0.9998577847507295,1.0000000004485305,-4.3842907082591864e-10
6464.8,2.10562853,11483.1963,4694.592154,0.187391181,0.837853959,-6.663023136,1.156818683,0.000133545,1.01035e-11,0.93057052,0.007164983,0.046798419,8.7875e-05,0.000150729,0.015018997,0.000208477,1.38472e-10,,60.38634872884188,0.9999491232437755,0.9972034232419195,0.999881078359697,1.0000000001485754,-1.3847190061255787e-10
6463.6,2.105647701,11478.44382,4694.70148,0.187385132,0.837843833,-6.663096527,1.156834905,0.000138497,1.01054e-11,0.930548066,0.007164867,0.046812584,8.79117e-05,0.000150853,0.015027071,0.000208647,1.38515e-10,,60.35189186692176,0.9999582274254336,0.9967907167792696,0.9999043632362499,0.9999999998486202,1.6148515857850043e-10
6462.4,2.105575632,11473.81111,4694.310576,0.187379379,0.837841294,-6.663166427,1.156854619,0.000143322,1.01074e-11,0.930536835,0.007164809,0.046823194,8.79414e-05,0.000150825,0.015027699,0.000208696,1.38537e-10,,60.34875327871279,0.9999240023319109,0.9963884111711274,0.9998211062673305,0.9999999995486443,4.614630899624217e-10
6461.2,2.105594799,11469.06143,4694.419849,0.187373329,0.837831166,-6.66323983,1.156870829,0.000148271,1.01093e-11,0.930514365,0.007164694,0.046837369,8.79782e-05,0.00015095,0.015035779,0.000208866,1.3858e-10,,60.31430514873754,0.9999331046139954,0.9959759478611251,0.9998443798556405,1.0000000013486892,-1.3385799135789966e-09
6460.0,2.105613969,11464.31315,4694.529081,0.187367278,0.837821036,-6.663313255,1.156887016,0.000153219,1.01112e-11,0.930491886,0.007164578,0.046851549,8.80149e-05,0.000151074,0.015043862,0.000209036,1.38624e-10,,60.27989014874171,0.9999422083207603,0.9955636061274468,0.999867644711536,1.0000000000487352,-3.862399289289442e-11
6458.8,2.105541875,11459.68464,4694.138108,0.187361522,0.837818495,-6.663383191,1.156906693,0.00015804,1.01132e-11,0.930480643,0.00716452,0.046862171,8.80447e-05,0.000151046,0.015044491,0.000209085,1.38645e-10,,60.27675334409586,0.9999079713549023,0.9951616652482762,0.9997843730466022,1.0000000008487584,-8.386451533226591e-10
6457.6,2.105561042,11454.93916,4694.247286,0.187355472,0.837808366,-6.663456598,1.1569229,0.000162985,1.01152e-11,0.930458149,0.007164404,0.046876361,8.80815e-05,0.000151171,0.015052579,0.000209255,1.38688e-10,,60.242350969218535,0.9999170736369868,0.9947495666672457,0.999807626401269,1.000000000648803,-6.386877693387305e-10
6456.4,2.105580213,11450.19508,4694.356423,0.187349421,0.837798235,-6.663530026,1.156939085,0.000167929,1.01171e-11,0.930435644,0.007164289,0.046890557,8.81183e-05,0.000151295,0.015060671,0.000209426,1.38732e-10,,60.20797394429953,0.9999261778186449,0.9943375896625388,0.9998308710235214,1.000000000448849,-4.387319396670364e-10
6455.2,2.105508092,11445.57076,4693.965382,0.187343663,0.837795691,-6.663599992,1.156958732,0.000172746,1.01191e-11,0.930424389,0.007164231,0.046901191,8.81481e-05,0.000151267,0.015061301,0.000209474,1.38753e-10,,60.20484279472995,0.9998919280306647,0.9939360126439377,0.9997475848755587,1.0000000012488721,-1.238753100096801e-09
6454.0,2.10552726,11440.82948,4694.074466,0.187337612,0.837785559,-6.663673423,1.156974914,0.000177688,1.0121e-11,0.93040187,0.007164115,0.046915397,8.81849e-05,0.000151392,0.015069397,0.000209645,1.38797e-10,,60.1704822745933,0.9999010307876427,0.9935242787918788,0.999770818209568,1.000000001048918,-1.038797048380502e-09
6452.8,2.10554643,11436.0896,4694.183508,0.18733156,0.837775426,-6.66374687,1.15699108,0.000182628,1.0123e-11,0.930379341,0.007163998,0.046929608,8.82218e-05,0.000151516,0.015077498,0.000209816,1.3884e-10,,60.13614701936955,0.9999101344944074,0.9931126665161436,0.9997940425981774,0.9999999989489631,1.0611599376986192e-09
6451.6,2.105474284,11431.46947,4693.792398,0.1873258,0.83777288,-6.663816863,1.1570107,0.000187441,1.0125e-11,0.930368072,0.00716394,0.046940254,8.82516e-05,0.000151489,0.015078129,0.000209865,1.38862e-10,,60.13300595619452,0.9998758728340919,0.9927114533581117,0.9997107417541999,1.000000000748987,-7.388620826276338e-10
6450.4,2.105493451,11426.73238,4693.901387,0.187319748,0.837762745,-6.663890323,1.157026853,0.000192378,1.01269e-11,0.930345528,0.007163824,0.046954476,8.82885e-05,0.000151613,0.015086234,0.000210036,1.38905e-10,,60.09869499238341,0.9998849751161764,0.9923000833666221,0.9997339548545663,0.999999999649032,3.610949317334189e-10
