P_bars,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,Fe3Fet_m,S6St_m,logfO2,dFMQ,vapor_wt,O2_v_mf,CO2_v_mf,CO_v_mf,H2O_v_mf,H2_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CH4_v_mf,OCS_v_mf,CS_v_mf,H2OT_m_wtpc_norm,CO2T_m_ppmw_norm,ST_m_ppmw_norm,SUM_v_mf,XO2_BYDIFF_v_mf
3900.0,4.501487166,3300.0,2694.056701,0.237885333,0.732589574,-8.835123561,1.361119724,0.0001,1.58911e-13,0.602555473,0.002517031,0.392106322,0.000579074,3.12853e-06,0.00152768,0.000711284,5.65943e-09,,269.493512438116,1.0,1.0,1.0,0.9999999981895888,1.8105699162163091e-09
3898.0,4.501371178,3295.824345,2694.045113,0.237871252,0.732570072,-8.835257828,1.361154298,0.000105319,1.59014e-13,0.602319493,0.002516444,0.392340057,0.000579587,3.13235e-06,0.00152904,0.000712241,5.66033e-09,,269.1095191792229,0.9999742334042677,0.99873465,0.9999956986799886,1.0000000000104892,-1.0330181154927232e-11
3896.0,4.501255053,3291.651923,2694.0335,0.237857172,0.732550572,-8.835392103,1.361188864,0.000110635,1.59118e-13,0.602083314,0.002515857,0.392573988,0.000580099,3.13618e-06,0.001530401,0.000713199,5.66123e-09,,268.7259897095807,0.9999484363741491,0.9974702796969697,0.9999913880802912,0.9999999998413892,1.5876988612717469e-10
3894.0,4.50113879,3287.48273,2694.021864,0.237843091,0.732531072,-8.835526385,1.361223423,0.00011595,1.59221e-13,0.601846937,0.002515267,0.392808115,0.000580613,3.14002e-06,0.001531764,0.000714159,5.66213e-09,,268.3426844420431,0.999922608687495,0.996206887878788,0.9999870689432827,1.0000000006822893,-6.821301301584981e-10
3892.0,4.50102239,3283.316765,2694.010203,0.23782901,0.732511574,-8.835660676,1.361257973,0.000121263,1.59325e-13,0.601610361,0.002514677,0.393042439,0.000581127,3.14386e-06,0.001533128,0.000715119,5.66303e-09,,267.9599645566913,0.9998967505664549,0.9949444742424243,0.9999827405265884,1.0000000005231893,-5.230300637037999e-10
3890.0,4.500905852,3279.154026,2693.998519,0.237814929,0.732492077,-8.835794974,1.361292517,0.000126574,1.59429e-13,0.601373586,0.002514086,0.393276959,0.000581641,3.1477e-06,0.001534493,0.000716082,5.66392e-09,,267.57747262045706,0.9998708617888792,0.9936830381818182,0.9999784035725833,1.0000000003640794,-3.6392000524188006e-10
3887.6,4.500765824,3274.162995,2693.984465,0.237798032,0.732468682,-8.835956142,1.361333958,0.000132946,1.59554e-13,0.601089192,0.002513375,0.393558643,0.000582259,3.15232e-06,0.001536134,0.000717238,5.66498e-09,,267.11900365752336,0.9998397547358463,0.9921706045454546,0.9999731869043539,0.9999999989851396,1.0150199569736174e-09
3885.2,4.500625596,3269.176601,2693.970375,0.237781135,0.732445288,-8.836117321,1.361375388,0.000139314,1.59679e-13,0.600804511,0.002512663,0.393840611,0.000582878,3.15695e-06,0.001537777,0.000718397,5.66605e-09,,266.66095304467706,0.999808603253052,0.9906595760606061,0.9999679568733768,0.9999999996162096,3.839500939406548e-10
3882.8,4.500485168,3264.194843,2693.956251,0.237764238,0.732421896,-8.836278511,1.361416807,0.00014568,1.59804e-13,0.600519542,0.002511949,0.394122864,0.000583498,3.16159e-06,0.001539422,0.000719558,5.6671e-09,,266.2034388999975,0.9997774073404966,0.9891499524242425,0.9999627142220271,1.0000000002572598,-2.570998969275706e-10
3880.4,4.500344539,3259.217716,2693.942092,0.237747341,0.732398506,-8.836439713,1.361458215,0.000152044,1.59929e-13,0.600234284,0.002511233,0.394405402,0.000584119,3.16623e-06,0.00154107,0.000720721,5.66816e-09,,265.74634639516495,0.9997461667760311,0.9876417321212122,0.9999574585791169,1.0000000008983199,-8.981599908253202e-10
3878.0,4.500203709,3254.245217,2693.927896,0.237730444,0.732375117,-8.836600926,1.361499612,0.000158404,1.60054e-13,0.599948738,0.002510516,0.394688224,0.00058474,3.17089e-06,0.001542719,0.000721885,5.6692e-09,,265.2900236434531,0.9997148815596556,0.9861349142424243,0.9999521892022718,0.9999999985593602,1.4407999238130742e-09
3875.6,4.500062676,3249.277342,2693.913666,0.237713547,0.73235173,-8.836762149,1.361540997,0.000164763,1.6018e-13,0.599662903,0.002509797,0.394971332,0.000585363,3.17555e-06,0.001544371,0.000723052,5.67025e-09,,264.8340068919996,0.9996835512470723,0.9846294975757576,0.9999469072050536,0.9999999992204103,7.797499312900413e-10
3873.2,4.499921441,3244.314088,2693.899399,0.23769665,0.732328345,-8.836923385,1.361582371,0.000171118,1.60306e-13,0.599376779,0.002509077,0.395254726,0.000585986,3.18021e-06,0.001546026,0.000724222,5.67129e-09,,264.3782990450725,0.9996521760604302,0.9831254812121213,0.9999416114739004,1.0000000018814503,-1.881290012661907e-09
3870.8,4.499780002,3239.355451,2693.885097,0.237679753,0.732304961,-8.837084631,1.361623734,0.000177472,1.60431e-13,0.599090364,0.002508355,0.395538406,0.00058661,3.18489e-06,0.001547682,0.000725393,5.67232e-09,,263.9233597368917,0.9996207555554317,0.9816228639393939,0.999936302751187,1.0000000005624805,-5.623199683668645e-10
3868.4,4.49963836,3234.401427,2693.870759,0.237662855,0.732281579,-8.837245889,1.361665085,0.000183822,1.60557e-13,0.598803659,0.002507631,0.395822373,0.000587235,3.18957e-06,0.001549341,0.000726566,5.67335e-09,,263.4688460551007,0.9995892899542256,0.9801216445454545,0.9999309806657257,1.0000000002435105,-2.43350006812193e-10
3866.0,4.499496512,3229.452013,2693.856385,0.237645958,0.732258198,-8.837407158,1.361706426,0.000190171,1.60683e-13,0.598516664,0.002506906,0.396106626,0.000587861,3.19426e-06,0.001551001,0.000727741,5.67438e-09,,263.0149877278695,0.9995577785903655,0.9786218221212122,0.9999256452175169,0.9999999989345406,1.0656200366554458e-09
3863.6,4.49935446,3224.507206,2693.841975,0.237629061,0.73223482,-8.837568439,1.361747755,0.000196516,1.6081e-13,0.598229378,0.002506179,0.396391167,0.000588488,3.19896e-06,0.001552665,0.000728919,5.6754e-09,,262.5613242063557,0.9995262219081488,0.9771233957575758,0.9999202964065602,1.0000000006355607,-6.353999548736056e-10
3861.2,4.499212201,3219.567001,2693.827529,0.237612164,0.732211443,-8.837729731,1.361789072,0.00020286,1.60936e-13,0.5979418,0.002505451,0.396675996,0.000589115,3.20367e-06,0.00155433,0.000730098,5.67642e-09,,262.108431012951,0.9994946192411291,0.975626363939394,0.999914934232856,0.999999999346581,6.53579967924145e-10
3858.8,4.499069737,3214.631395,2693.813046,0.237595267,0.732188067,-8.837891034,1.361830379,0.0002092,1.61063e-13,0.59765393,0.002504721,0.396961113,0.000589744,3.20839e-06,0.001555998,0.00073128,5.67743e-09,,261.65584972793545,0.9994629710336044,0.9741307257575758,0.9999095583252167,1.000000000067591,-6.743006153442366e-11
3856.4,4.498927065,3209.700385,2693.798527,0.23757837,0.732164694,-8.838052348,1.361871673,0.000215539,1.61189e-13,0.597365768,0.00250399,0.397246519,0.000590373,3.21311e-06,0.001557668,0.000732464,5.67844e-09,,261.2038129294367,0.9994312766191278,0.9726364803030303,0.9999041690548294,1.0000000007886012,-7.884399799706898e-10
3854.0,4.498784185,3204.773968,2693.783971,0.237561473,0.732141322,-8.838213674,1.361912957,0.000221875,1.61316e-13,0.597077314,0.002503257,0.397532213,0.000591003,3.21784e-06,0.00155934,0.00073365,5.67944e-09,,260.7523182395006,0.9993995359976995,0.9711436266666666,0.9998987660505071,1.0000000005196013,-5.19440046531372e-10
3851.6,4.498641097,3199.852138,2693.769378,0.237544575,0.732117952,-8.838375011,1.361954229,0.000228208,1.61443e-13,0.596788567,0.002502522,0.397818197,0.000591634,3.22258e-06,0.001561014,0.000734838,5.68044e-09,,260.30136556327074,0.9993677491693197,0.9696521630303031,0.9998933493122497,1.0000000002606013,-2.6043989187485295e-10
3849.2,4.4984978,3194.934894,2693.754749,0.237527678,0.732094584,-8.83853636,1.361995489,0.000234539,1.61571e-13,0.596499526,0.002501786,0.39810447,0.000592266,3.22732e-06,0.001562691,0.000736028,5.68143e-09,,259.8508447638808,0.9993359159118392,0.9681620890909091,0.9998879192112446,1.0000000000015914,-1.4299672557172016e-12
3846.8,4.498354294,3190.022232,2693.740082,0.237510781,0.732071217,-8.83869772,1.362036739,0.000240867,1.61698e-13,0.596210192,0.002501048,0.398391034,0.000592899,3.23208e-06,0.00156437,0.00073722,5.68242e-09,,259.40086504834005,0.9993040362252584,0.9666734036363636,0.9998824750051167,1.0000000007625816,-7.62419904987155e-10
3844.4,4.498210577,3185.114147,2693.725379,0.237493884,0.732047853,-8.838859092,1.362077977,0.000247194,1.61826e-13,0.595920563,0.002500308,0.398677888,0.000593533,3.23684e-06,0.001566051,0.000738415,5.68341e-09,,258.9513183154179,0.9992721096652794,0.965186105151515,0.9998770174362414,1.0000000005235719,-5.234099820228266e-10
3842.0,4.498066649,3180.210637,2693.710638,0.237476986,0.73202449,-8.839020474,1.362119203,0.000253517,1.61953e-13,0.59563064,0.002499567,0.398965032,0.000594167,3.24161e-06,0.001567735,0.000739611,5.68439e-09,,258.5023162100053,0.9992401362319022,0.9637001930303031,0.9998715457622435,0.9999999992945519,7.056101258839931e-10
3839.6,4.49792251,3175.311698,2693.69586,0.237460089,0.732001129,-8.839181869,1.362160418,0.000259839,1.62081e-13,0.595340422,0.002498824,0.399252468,0.000594802,3.24639e-06,0.001569421,0.00074081,5.68536e-09,,258.0537467808786,0.9992081159251271,0.962215666060606,0.9998660603543102,0.9999999990755222,9.246399201856548e-10
3837.2,4.497778159,3170.417326,2693.681045,0.237443192,0.73197777,-8.839343275,1.362201622,0.000266158,1.62209e-13,0.595049909,0.00249808,0.399540196,0.000595439,3.25118e-06,0.001571109,0.000742011,5.68633e-09,,257.60572280667697,0.999176048522805,0.960732523030303,0.9998605612124419,1.0000000008664922,-8.663301187539219e-10
3834.8,4.497633594,3165.527518,2693.666192,0.237426294,0.731954413,-8.839504692,1.362242814,0.000272474,1.62337e-13,0.5947591,0.002497334,0.399828216,0.000596076,3.25597e-06,0.001572799,0.000743214,5.6873e-09,,257.15824592492856,0.9991439335806382,0.959250763030303,0.9998550479654512,1.000000000657462,-6.572997701681516e-10
3832.4,4.497488816,3160.64227,2693.651301,0.237409397,0.731931057,-8.839666121,1.362283994,0.000278788,1.62465e-13,0.594467995,0.002496586,0.400116528,0.000596714,3.26078e-06,0.001574492,0.000744419,5.68826e-09,,256.7112015874844,0.9991117713207759,0.9577703848484848,0.9998495206133377,1.0000000004684226,-4.682600973637818e-10
3830.0,4.497343824,3155.761579,2693.636373,0.2373925,0.731907704,-8.839827561,1.362325163,0.0002851,1.62594e-13,0.594176593,0.002495837,0.400405132,0.000597353,3.26559e-06,0.001576187,0.000745626,5.68922e-09,,256.26470554246845,0.9990795615210689,0.9562913875757576,0.999843979527289,0.9999999992793825,7.207799912478663e-10
3827.6,4.497198618,3150.885442,2693.621406,0.237375602,0.731884352,-8.839989013,1.362366321,0.00029141,1.62723e-13,0.593884895,0.002495086,0.40069403,0.000597993,3.27041e-06,0.001577885,0.000746836,5.69017e-09,,255.81853637107565,0.9990473041815175,0.9548137703030303,0.9998384239649306,1.0000000011003327,-1.1001699551371757e-09
3825.2,4.497053195,3146.013854,2693.606402,0.237358705,0.731861002,-8.840150476,1.362407467,0.000297717,1.62851e-13,0.593592899,0.002494334,0.400983222,0.000598633,3.27523e-06,0.001579584,0.000748047,5.69112e-09,,255.37313568205616,0.9990149986356753,0.9533375315151514,0.9998328546686367,0.9999999999212827,7.888001363198782e-11
3822.8,4.496907557,3141.146813,2693.591359,0.237341807,0.731837655,-8.840311951,1.362448601,0.000304022,1.6298e-13,0.593300605,0.00249358,0.401272707,0.000599275,3.28007e-06,0.001581286,0.000749261,5.69206e-09,,254.92806063313813,0.9989826453278395,0.9518626706060606,0.9998272708960331,0.999999999762223,2.3794000103549706e-10
