P_bars,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,Fe3Fet_m,S6St_m,logfO2,dFMQ,vapor_wt,O2_v_mf,CO2_v_mf,CO_v_mf,H2O_v_mf,H2_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CH4_v_mf,OCS_v_mf,CS_v_mf,H2OT_m_wtpc_norm,CO2T_m_ppmw_norm,ST_m_ppmw_norm,SUM_v_mf,XO2_BYDIFF_v_mf
1051.0,0.300014371,800.0,1509.830975,0.186421757,0.901123519,-7.255572672,0.741376423,0.0001,4.28088e-11,0.967041321,0.018358246,0.012974134,8.58357e-05,1.6393e-06,0.001528722,1.0102e-05,5.6441e-12,,638.9974097739309,1.0,1.0,1.0,1.0000000000484528,-5.643929767984446e-12
1049.976,0.300013322,799.1613199,1509.829186,0.186414817,0.901117113,-7.255656755,0.741367786,0.00010084,4.28503e-11,0.967025032,0.018359806,0.01298695,8.59376e-05,1.64167e-06,0.001530516,1.0117e-05,5.64621e-12,,638.2371974932569,0.9999965035008274,0.998951649875,0.9999988150991537,1.0000000003184966,-2.7564617255393387e-10
1048.952,0.300012273,798.3228632,1509.828789,0.186407881,0.901110685,-7.255740785,0.741359201,0.00010168,4.28919e-11,0.967008708,0.018361365,0.012999791,8.60396e-05,1.64407e-06,0.001532321,1.0132e-05,5.64833e-12,,637.4741847174026,0.9999930070016546,0.997903579,0.9999985521558132,1.0000000007185403,-6.756484260961315e-10
1047.928,0.300011222,797.4846359,1509.827693,0.186400943,0.901104267,-7.255824844,0.741350588,0.00010252,4.29336e-11,0.966992359,0.018362924,0.013012656,8.61419e-05,1.64646e-06,0.001534126,1.01471e-05,5.65044e-12,,636.7129222736813,0.9999895038361346,0.996855794875,0.9999978262467425,1.0000000005085838,-4.6565040712209793e-10
1046.904,0.300010171,796.6466357,1509.826595,0.186394006,0.901097849,-7.255908903,0.741341974,0.000103359,4.29754e-11,0.966975981,0.018364483,0.013025546,8.62443e-05,1.64885e-06,0.001535934,1.01621e-05,5.65256e-12,,635.9522440361209,0.9999860006706145,0.9958082946250001,0.9999970990130203,0.9999999992986282,7.443472505030968e-10
1045.88,0.300009118,795.8088626,1509.825494,0.186387069,0.90109143,-7.255992964,0.741333358,0.000104199,4.30172e-11,0.966959575,0.018366042,0.013038461,8.6347e-05,1.65125e-06,0.001537746,1.01773e-05,5.65467e-12,,635.1916123401601,0.9999824908387472,0.99476107825,0.9999963697923205,0.9999999995986717,4.443454493241461e-10
1043.91392,0.300007095,794.2009738,1509.823375,0.186373749,0.901079106,-7.256154365,0.741316813,0.00010581,4.30977e-11,0.966927995,0.018369035,0.013063328,8.65446e-05,1.65588e-06,0.001541236,1.02064e-05,5.65874e-12,,633.7317212939046,0.9999757478284266,0.99275121725,0.9999949663239621,1.0000000009287566,-8.856588795680409e-10
1041.94784,0.300005069,792.5939202,1509.821246,0.18636043,0.901066781,-7.256315771,0.741300262,0.00010742,4.31786e-11,0.966896309,0.018372027,0.013088286,8.67431e-05,1.66052e-06,0.001544738,1.02356e-05,5.66281e-12,,632.2734550416363,0.9999689948185849,0.9907424002499999,0.9999935562323458,0.9999999992688413,7.743372609780863e-10
1040.021082,0.300003079,791.0198184,1509.818549,0.186347377,0.901054711,-7.256473976,0.741284015,0.000108997,4.32581e-11,0.966865156,0.018374959,0.013112836,8.69383e-05,1.66508e-06,0.001548181,1.02643e-05,5.6668e-12,,630.8462005195464,0.9999623618029951,0.9887747729999999,0.9999917699396782,0.9999999997289247,3.1433333713692946e-10
1038.133645,0.300001128,789.4786131,1509.817093,0.186334594,0.901042867,-7.256628912,0.74126814,0.000110541,4.33363e-11,0.966834534,0.01837783,0.013136971,8.71302e-05,1.66958e-06,0.001551572,1.02926e-05,5.67071e-12,,629.4467143406752,0.9999558587811782,0.986848266375,0.9999908055933215,0.999999999429007,6.143293651561521e-10
1036.246208,0.299999173,787.938176,1509.815025,0.186321809,0.901031032,-7.256783875,0.741252238,0.000112085,4.34147e-11,0.966803816,0.018380702,0.013161193,8.73228e-05,1.67409e-06,0.001554972,1.0321e-05,5.67462e-12,,628.0496333812138,0.9999493424266667,0.98492272,0.9999894359035786,1.0000000009390893,-8.956744235177894e-10
1034.434269,0.299997293,786.4600764,1509.813032,0.186309536,0.901019669,-7.256932644,0.741236968,0.000113566,4.34903e-11,0.966774232,0.018383458,0.013184527,8.75085e-05,1.67843e-06,0.001558248,1.03483e-05,5.67838e-12,,626.7093162023215,0.9999430760601797,0.9830750955,0.9999881158882702,1.0000000002791687,-2.3567836571203316e-10
1032.622329,0.29999541,784.9826813,1509.811032,0.186297264,0.901008306,-7.257081417,0.741221694,0.000115046,4.35662e-11,0.966744556,0.018386213,0.013207942,8.76947e-05,1.68279e-06,0.001561536,1.03758e-05,5.68213e-12,,625.3697167959601,0.999936799694172,0.981228351625,0.9999867912366813,1.0000000003392482,-2.9568214543473914e-10
1030.846629,0.299993562,783.5355181,1509.808545,0.186285236,0.900997177,-7.257227238,0.741206701,0.000116496,4.36408e-11,0.966715385,0.018388913,0.013230967,8.78779e-05,1.68708e-06,0.001564766,1.04028e-05,5.68582e-12,,624.0592261142426,0.9999306399892424,0.979419397625,0.9999851440324306,0.9999999988293266,1.2143142047449373e-09
1029.107167,0.299991748,782.1185402,1509.80713,0.186273458,0.900986258,-7.257370048,0.741192049,0.000117916,4.37141e-11,0.966686718,0.018391557,0.013253599,8.8058e-05,1.6913e-06,0.001567947,1.04294e-05,5.68943e-12,,622.7739339594017,0.9999245936122173,0.97764817525,0.9999842068414313,0.9999999997494035,2.943106869324197e-10
1027.367705,0.299989932,780.7022105,1509.805189,0.186261678,0.900975346,-7.257512882,0.741177374,0.000119336,4.37877e-11,0.966657967,0.018394201,0.013276305,8.82387e-05,1.69553e-06,0.001571136,1.0456e-05,5.69305e-12,,621.490659973169,0.999918540568845,0.975877763125,0.9999829212670642,0.9999999992794807,7.643070620844128e-10
1025.697822,0.299988186,779.3431416,1509.803319,0.186250369,0.90096487,-7.257650006,0.741163283,0.000120698,4.38585e-11,0.966630284,0.018396739,0.013298174,8.84128e-05,1.69961e-06,0.001574208,1.04817e-05,5.69652e-12,,620.2593636921141,0.9999127208476289,0.974178927,0.9999816827178287,0.999999999159555,8.843035192995785e-10
1024.027939,0.299986438,777.9846672,1509.801441,0.186239061,0.900954394,-7.257787133,0.741149187,0.000122059,4.39296e-11,0.966602521,0.018399277,0.013320114,8.85874e-05,1.70371e-06,0.00157729,1.05075e-05,5.7e-12,,619.0288790746699,0.9999068944600658,0.972480834,0.9999804388699868,1.0000000006596297,-6.156999354800519e-10
1022.191067,0.299984511,776.4910312,1509.799369,0.186226623,0.900942868,-7.257937978,0.741133678,0.000123556,4.40081e-11,0.966571888,0.018402067,0.013344329,8.87802e-05,1.70822e-06,0.001580692,1.05359e-05,5.70382e-12,,617.6762619090999,0.9999004714344167,0.970613789,0.9999790665309406,1.0000000003697123,-3.2570413033283785e-10
1021.189137,0.299983459,775.6766232,1509.798235,0.186219838,0.900936582,-7.258020258,0.741125217,0.000124373,4.4051e-11,0.966555137,0.018403589,0.013357573,8.88856e-05,1.7107e-06,0.001582552,1.05515e-05,5.7059e-12,,616.9391570439683,0.999896964935723,0.969595779,0.9999783154534897,0.9999999988497568,1.1942942190756867e-09
1020.187207,0.299982406,774.8624284,1509.797099,0.186213054,0.900930294,-7.25810254,0.741116755,0.000125189,4.4094e-11,0.966538357,0.018405111,0.013370843,8.89913e-05,1.71317e-06,0.001584417,1.05671e-05,5.70799e-12,,616.2018486351403,0.9998934551038556,0.9685780355,0.9999775630513872,0.9999999996198019,4.242920459418542e-10
1019.185277,0.299981352,774.0484469,1509.795961,0.18620627,0.900924007,-7.258184823,0.741108291,0.000126005,4.41371e-11,0.966521548,0.018406633,0.013384138,8.90972e-05,1.71565e-06,0.001586285,1.05827e-05,5.71008e-12,,615.4650980883636,0.9998899419388145,0.967560558625,0.9999768093246332,0.9999999995998473,4.442898271506124e-10
1018.183347,0.299980297,773.2346783,1509.79482,0.186199486,0.900917719,-7.258267107,0.741099826,0.00012682,4.41803e-11,0.966504709,0.018408155,0.013397459,8.92033e-05,1.71814e-06,0.001588157,1.05984e-05,5.71217e-12,,614.7284849249199,0.9998864254406,0.9665433478750001,0.9999760536109017,0.9999999998898925,1.5428780475446047e-10
1016.259642,0.299978269,771.6728391,1509.792622,0.186186461,0.900905646,-7.258425096,0.74108357,0.000128386,4.42634e-11,0.966472296,0.018411076,0.013423108,8.94075e-05,1.72293e-06,0.001591761,1.06285e-05,5.71618e-12,,613.3152853264586,0.999879665764411,0.964591048875,0.9999745978188054,0.9999999999799796,6.428380050493843e-11
1014.335936,0.299976237,770.1117834,1509.790416,0.186173437,0.900893572,-7.258583091,0.741067309,0.000129951,4.43468e-11,0.966439772,0.018413996,0.013448853,8.96126e-05,1.72774e-06,0.001595379,1.06588e-05,5.72019e-12,,611.903000928168,0.9998728927555273,0.9626397292500001,0.999973136728103,0.9999999991900668,8.542799800892453e-10
1012.450705,0.299974243,768.5827098,1509.787642,0.186160672,0.900881749,-7.258737949,0.741051349,0.000131483,4.44289e-11,0.966407795,0.018416858,0.013474176,8.98143e-05,1.73247e-06,0.001598936,1.06886e-05,5.72413e-12,,610.5207606799831,0.9998662464072429,0.96072838725,0.9999712994363491,1.000000000420153,-3.7572411848429965e-10
1010.603947,0.299972285,767.0855656,1509.78611,0.186148171,0.900870146,-7.258889613,0.741035749,0.000132984,4.45096e-11,0.966376361,0.01841966,0.013499073,9.00127e-05,1.73713e-06,0.001602438,1.07179e-05,5.72798e-12,,609.1659337876808,0.9998597200532104,0.958856957,0.999970284753232,0.9999999997802375,2.6427215971125406e-10
1008.75719,0.299970325,765.5891422,1509.783966,0.18613567,0.900858552,-7.2590413,0.741020126,0.000134484,4.45906e-11,0.966344827,0.018422462,0.013524059,9.02118e-05,1.7418e-06,0.001605951,1.07474e-05,5.73184e-12,,607.8127574591816,0.9998531870328304,0.95698642775,0.9999688647267286,1.0000000000503224,-5.731859431534758e-12
