P_bars,H2OT_m_wtpc,CO2T_m_ppmw,ST_m_ppmw,Fe3Fet_m,S6St_m,logfO2,dFMQ,vapor_wt,O2_v_mf,CO2_v_mf,CO_v_mf,H2O_v_mf,H2_v_mf,S2_v_mf,SO2_v_mf,H2S_v_mf,CH4_v_mf,OCS_v_mf,CS_v_mf,H2OT_m_wtpc_norm,CO2T_m_ppmw_norm,ST_m_ppmw_norm,SUM_v_mf,XO2_BYDIFF_v_mf
1420.4,0.200042223,1100.0,1418.733485,0.10373637,0.704522491,-10.09976519,-0.670041224,0.0001,4.13875e-14,0.930544888,0.063406531,0.005077823,0.000138734,0.000144237,0.000237631,0.000450152,2.56227e-09,,1018.1247576839604,1.0,1.0,1.0,0.9999999985623114,1.4377300461276832e-09
1419.12,0.200041324,1098.836034,1418.732194,0.103734225,0.704514729,-10.09981298,-0.669986472,0.000101141,4.1431e-14,0.930536,0.063409605,0.005082429,0.000138889,0.000144415,0.000237906,0.000450754,2.56281e-09,,1016.8345533589192,0.9999955059487616,0.998941849090909,0.9999990900334603,1.0000000005628515,-5.62810020809934e-10
1417.84,0.200040424,1097.672548,1418.731633,0.10373208,0.704506931,-10.0998608,-0.669931738,0.000102281,4.14745e-14,0.930527098,0.06341268,0.005087043,0.000139044,0.000144594,0.000238181,0.000451358,2.56336e-09,,1015.54343607907,0.9999910068985787,0.9978841345454545,0.9999986946103553,1.0000000005634013,-5.633598032517284e-10
1416.56,0.200039524,1096.509546,1418.730704,0.103729934,0.704499148,-10.09990862,-0.669877014,0.000103421,4.15182e-14,0.930518186,0.063415755,0.005091666,0.000139199,0.000144773,0.000238456,0.000451963,2.56391e-09,,1014.254533135275,0.9999865078483956,0.99682686,0.9999980398009709,1.0000000005639518,-5.639102518273376e-10
1415.28,0.200038624,1095.347025,1418.729773,0.103727787,0.704491363,-10.09995646,-0.669822301,0.00010456,4.15619e-14,0.930509262,0.063418832,0.005096296,0.000139354,0.000144953,0.000238732,0.000452568,2.56446e-09,,1012.9657753463188,0.9999820087982126,0.9957700227272728,0.9999973835818784,0.9999999995645015,4.3554004847123906e-10
1414.0,0.200037722,1094.184986,1418.72884,0.103725641,0.704483577,-10.10000431,-0.669767599,0.000105699,4.16056e-14,0.930500328,0.063421909,0.005100934,0.00013951,0.000145132,0.000239009,0.000453175,2.56501e-09,,1011.6792334708912,0.9999774997501403,0.9947136236363636,0.9999967259530778,0.9999999995650516,4.3499004398483976e-10
1412.7712,0.200036857,1093.069881,1418.727603,0.103723579,0.704476113,-10.10005027,-0.669715111,0.000106791,4.16477e-14,0.93049174,0.063424866,0.005105394,0.00013966,0.000145305,0.000239274,0.000453759,2.56553e-09,,1010.444448408142,0.99997317566302,0.9936998918181817,0.9999958540486553,1.0000000005655716,-5.655298451756607e-10
1411.5424,0.20003599,1091.955219,1418.727044,0.103721517,0.704468622,-10.10009621,-0.669662606,0.000107884,4.16899e-14,0.930483141,0.063427821,0.005109862,0.00013981,0.000145478,0.000239541,0.000454344,2.56606e-09,,1009.2095724752118,0.9999688415780102,0.9926865627272726,0.9999954600352582,0.9999999995661016,4.3394010607045175e-10
1410.3136,0.200035123,1090.841,1418.726143,0.103719455,0.704461142,-10.10014218,-0.669610126,0.000108976,4.17321e-14,0.930474532,0.063430778,0.005114338,0.00013996,0.000145652,0.000239808,0.00045493,2.56659e-09,,1007.9746223452855,0.9999645074930007,0.9916736363636363,0.9999948249617864,1.0000000005666319,-5.665901081641778e-10
1409.0848,0.200034256,1089.727224,1418.72524,0.103717392,0.704453661,-10.10018815,-0.669557656,0.000110067,4.17745e-14,0.930465912,0.063433736,0.00511882,0.000140111,0.000145826,0.000240075,0.000455517,2.56712e-09,,1006.7416470164619,0.999960173407991,0.9906611127272728,0.9999941884786063,0.9999999995671617,4.3288006512653965e-10
1407.856,0.200033388,1088.61389,1418.724335,0.103715329,0.704446177,-10.10023414,-0.669505198,0.000111158,4.18169e-14,0.930457282,0.063436695,0.005123311,0.000140262,0.000146,0.000240343,0.000456105,2.56764e-09,,1005.5096267761581,0.9999558343240368,0.989648990909091,0.9999935505857185,1.000000000567682,-5.676399350562633e-10
1406.676352,0.200032555,1087.545506,1418.72315,0.103713347,0.704439003,-10.10027832,-0.669454864,0.000112205,4.18576e-14,0.930448987,0.063439538,0.005127629,0.000140407,0.000146167,0.0002406,0.00045667,2.56815e-09,,1004.3295374393697,0.9999516702031451,0.9886777327272727,0.9999927153337049,1.000000000568192,-5.681499715137761e-10
1405.496704,0.200031721,1086.477529,1418.722593,0.103711366,0.704431805,-10.10032247,-0.669404507,0.000113252,4.18984e-14,0.930440682,0.063442379,0.005131953,0.000140552,0.000146335,0.000240858,0.000457238,2.56866e-09,,1003.1461147926552,0.9999475010833088,0.9877068445454545,0.9999923227300158,0.9999999995687017,4.313400747690821e-10
1404.317056,0.200030886,1085.409959,1418.721719,0.103709384,0.704424617,-10.10036665,-0.669354177,0.000114298,4.19393e-14,0.930432367,0.063445222,0.005136285,0.000140698,0.000146503,0.000241117,0.000457805,2.56917e-09,,1001.9654567359426,0.9999433269645279,0.9867363263636364,0.9999917066876024,0.9999999995692119,4.308300383115693e-10
1403.137408,0.200030051,1084.342796,1418.720844,0.103707402,0.704417427,-10.10041084,-0.669303856,0.000115344,4.19803e-14,0.930424043,0.063448066,0.005140624,0.000140844,0.000146672,0.000241375,0.000458374,2.56967e-09,,1000.7845303205944,0.999939152845747,0.9857661781818181,0.999991089940335,1.000000000569712,-5.696700888790929e-10
1401.95776,0.200029215,1083.27604,1418.719967,0.103705419,0.704410235,-10.10045504,-0.669253546,0.000116389,4.20214e-14,0.930415708,0.063450911,0.00514497,0.00014099,0.00014684,0.000241635,0.000458944,2.57018e-09,,999.6053559185082,0.9999349737280215,0.9847964,0.9999904717833596,1.0000000005702219,-5.701799032920007e-10
